Dataset,Strategy,Count significant last task 0,Count significant last task 1,Count significant last task 2,Count significant last task 3,Count significant last task 4
CIFAR10,ewc,1,1,3,8,2
CIFAR10,lwf,5,0,6,1,3
CIFAR10,replay,13,10,11,8,14
CIFAR10,agem,1,16,2,3,2
CIFAR10,mir,12,11,1,8,1
CIFAR10,gss,11,12,7,10,11
CIFAR10,cope,3,6,11,2,6
CIFAR10-random,ewc,2,9,3,0,2
CIFAR10-random,lwf,0,7,9,6,1
CIFAR10-random,replay,2,12,1,9,19
CIFAR10-random,agem,1,0,0,15,2
CIFAR10-random,mir,2,11,8,7,7
CIFAR10-random,gss,7,1,2,4,0
CIFAR10-random,cope,1,3,8,1,2
M2I,ewc,0,6,0,13,1
M2I,lwf,0,18,9,1,14
M2I,replay,6,11,5,13,17
M2I,agem,2,2,0,0,11
M2I,mir,14,17,1,13,12
M2I,gss,15,10,13,19,18
M2I,cope,18,17,15,7,17
