Dataset,CD,Strategy 1,Strategy 2,Mean Footrule distance
CIFAR10-I,OTF-avg,CoPE,CoPE,3.822
CIFAR10-I,OTF-avg,ER,CoPE,3.76
CIFAR10-I,OTF-avg,ER,ER,3.778
CIFAR10-I,OTF-avg,ER,GSS,4.24
CIFAR10-I,OTF-avg,ER,MIR,3.26
CIFAR10-I,OTF-avg,GSS,CoPE,4.38
CIFAR10-I,OTF-avg,GSS,GSS,4.444
CIFAR10-I,OTF-avg,MIR,CoPE,3.64
CIFAR10-I,OTF-avg,MIR,GSS,4.1
CIFAR10-I,OTF-avg,MIR,MIR,3.378
CIFAR10-I,OTF-last,CoPE,CoPE,2.8
CIFAR10-I,OTF-last,ER,CoPE,3.32
CIFAR10-I,OTF-last,ER,ER,3.778
CIFAR10-I,OTF-last,ER,GSS,2.88
CIFAR10-I,OTF-last,ER,MIR,3.38
CIFAR10-I,OTF-last,GSS,CoPE,1.92
CIFAR10-I,OTF-last,GSS,GSS,0.933
CIFAR10-I,OTF-last,MIR,CoPE,2.8
CIFAR10-I,OTF-last,MIR,GSS,1.96
CIFAR10-I,OTF-last,MIR,MIR,2.756
CIFAR10-I,Random,CoPE,CoPE,7.689
CIFAR10-I,Random,ER,CoPE,8.08
CIFAR10-I,Random,ER,ER,8.178
CIFAR10-I,Random,ER,GSS,8.3
CIFAR10-I,Random,ER,MIR,7.82
CIFAR10-I,Random,GSS,CoPE,7.94
CIFAR10-I,Random,GSS,GSS,8.267
CIFAR10-I,Random,MIR,CoPE,7.88
CIFAR10-I,Random,MIR,GSS,8.2
CIFAR10-I,Random,MIR,MIR,8.222
CIFAR10-II,OTF-avg,CoPE,CoPE,2.756
CIFAR10-II,OTF-avg,ER,CoPE,3.64
CIFAR10-II,OTF-avg,ER,ER,4.267
CIFAR10-II,OTF-avg,ER,GSS,4.1
CIFAR10-II,OTF-avg,ER,MIR,4.66
CIFAR10-II,OTF-avg,GSS,CoPE,3.16
CIFAR10-II,OTF-avg,GSS,GSS,3.467
CIFAR10-II,OTF-avg,MIR,CoPE,4.64
CIFAR10-II,OTF-avg,MIR,GSS,4.62
CIFAR10-II,OTF-avg,MIR,MIR,5.067
CIFAR10-II,OTF-last,CoPE,CoPE,3.822
CIFAR10-II,OTF-last,ER,CoPE,4.16
CIFAR10-II,OTF-last,ER,ER,4.667
CIFAR10-II,OTF-last,ER,GSS,5.16
CIFAR10-II,OTF-last,ER,MIR,4.18
CIFAR10-II,OTF-last,GSS,CoPE,5.14
CIFAR10-II,OTF-last,GSS,GSS,5.333
CIFAR10-II,OTF-last,MIR,CoPE,3.86
CIFAR10-II,OTF-last,MIR,GSS,5.06
CIFAR10-II,OTF-last,MIR,MIR,4.356
CIFAR10-II,Random,CoPE,CoPE,8.356
CIFAR10-II,Random,ER,CoPE,7.9
CIFAR10-II,Random,ER,ER,8.4
CIFAR10-II,Random,ER,GSS,8.04
CIFAR10-II,Random,ER,MIR,8.0
CIFAR10-II,Random,GSS,CoPE,7.96
CIFAR10-II,Random,GSS,GSS,8.178
CIFAR10-II,Random,MIR,CoPE,8.08
CIFAR10-II,Random,MIR,GSS,8.18
CIFAR10-II,Random,MIR,MIR,7.689
M2I,OTF-avg,CoPE,CoPE,0.8
M2I,OTF-avg,ER,CoPE,0.56
M2I,OTF-avg,ER,ER,0.4
M2I,OTF-avg,ER,GSS,0.88
M2I,OTF-avg,ER,MIR,1.2
M2I,OTF-avg,GSS,CoPE,1.04
M2I,OTF-avg,GSS,GSS,1.333
M2I,OTF-avg,MIR,CoPE,1.36
M2I,OTF-avg,MIR,GSS,1.36
M2I,OTF-avg,MIR,MIR,1.511
M2I,OTF-last,CoPE,CoPE,0.711
M2I,OTF-last,ER,CoPE,0.4
M2I,OTF-last,ER,ER,0.0
M2I,OTF-last,ER,GSS,0.6
M2I,OTF-last,ER,MIR,2.0
M2I,OTF-last,GSS,CoPE,0.76
M2I,OTF-last,GSS,GSS,0.933
M2I,OTF-last,MIR,CoPE,2.08
M2I,OTF-last,MIR,GSS,2.12
M2I,OTF-last,MIR,MIR,2.133
M2I,Random,CoPE,CoPE,7.6
M2I,Random,ER,CoPE,7.92
M2I,Random,ER,ER,8.089
M2I,Random,ER,GSS,7.82
M2I,Random,ER,MIR,8.36
M2I,Random,GSS,CoPE,8.42
M2I,Random,GSS,GSS,8.133
M2I,Random,MIR,CoPE,7.7
M2I,Random,MIR,GSS,7.94
M2I,Random,MIR,MIR,7.867
