Dataset,Strategy,CD,Mean Footrule distance between orderings
CIFAR10-I,CoPE,OTF-avg,3.822
CIFAR10-I,CoPE,OTF-last,2.8
CIFAR10-I,CoPE,Random,7.689
CIFAR10-I,ER,OTF-avg,3.778
CIFAR10-I,ER,OTF-last,3.778
CIFAR10-I,ER,Random,8.178
CIFAR10-I,GSS,OTF-avg,4.444
CIFAR10-I,GSS,OTF-last,0.933
CIFAR10-I,GSS,Random,8.267
CIFAR10-I,MIR,OTF-avg,3.378
CIFAR10-I,MIR,OTF-last,2.756
CIFAR10-I,MIR,Random,8.222
CIFAR10-II,CoPE,OTF-avg,2.756
CIFAR10-II,CoPE,OTF-last,3.822
CIFAR10-II,CoPE,Random,8.356
CIFAR10-II,ER,OTF-avg,4.267
CIFAR10-II,ER,OTF-last,4.667
CIFAR10-II,ER,Random,8.4
CIFAR10-II,GSS,OTF-avg,3.467
CIFAR10-II,GSS,OTF-last,5.333
CIFAR10-II,GSS,Random,8.178
CIFAR10-II,MIR,OTF-avg,5.067
CIFAR10-II,MIR,OTF-last,4.356
CIFAR10-II,MIR,Random,7.689
M2I,CoPE,OTF-avg,0.8
M2I,CoPE,OTF-last,0.711
M2I,CoPE,Random,7.6
M2I,ER,OTF-avg,0.4
M2I,ER,OTF-last,0.0
M2I,ER,Random,8.089
M2I,GSS,OTF-avg,1.333
M2I,GSS,OTF-last,0.933
M2I,GSS,Random,8.133
M2I,MIR,OTF-avg,1.511
M2I,MIR,OTF-last,2.133
M2I,MIR,Random,7.867
