Dataset,CD,Strategy 1,Strategy 2,Mean Footrule distance
CIFAR100,OTF-avg,CoPE,CoPE,81.556
CIFAR100,OTF-avg,ER,CoPE,73.06
CIFAR100,OTF-avg,ER,ER,69.333
CIFAR100,OTF-avg,ER,GSS,69.48
CIFAR100,OTF-avg,ER,MIR,67.38
CIFAR100,OTF-avg,GSS,CoPE,76.94
CIFAR100,OTF-avg,GSS,GSS,57.511
CIFAR100,OTF-avg,MIR,CoPE,74.42
CIFAR100,OTF-avg,MIR,GSS,68.0
CIFAR100,OTF-avg,MIR,MIR,59.867
CIFAR100,OTF-last,CoPE,CoPE,88.444
CIFAR100,OTF-last,ER,CoPE,83.9
CIFAR100,OTF-last,ER,ER,77.778
CIFAR100,OTF-last,ER,GSS,77.46
CIFAR100,OTF-last,ER,MIR,78.82
CIFAR100,OTF-last,GSS,CoPE,83.22
CIFAR100,OTF-last,GSS,GSS,69.156
CIFAR100,OTF-last,MIR,CoPE,80.6
CIFAR100,OTF-last,MIR,GSS,75.38
CIFAR100,OTF-last,MIR,MIR,74.089
CIFAR100,Random,CoPE,CoPE,131.289
CIFAR100,Random,ER,CoPE,130.54
CIFAR100,Random,ER,ER,134.133
CIFAR100,Random,ER,GSS,132.26
CIFAR100,Random,ER,MIR,132.98
CIFAR100,Random,GSS,CoPE,134.08
CIFAR100,Random,GSS,GSS,128.622
CIFAR100,Random,MIR,CoPE,132.0
CIFAR100,Random,MIR,GSS,136.74
CIFAR100,Random,MIR,MIR,127.733
CIFAR100-superclass,OTF-avg,CoPE,CoPE,65.111
CIFAR100-superclass,OTF-avg,ER,CoPE,59.68
CIFAR100-superclass,OTF-avg,ER,ER,46.622
CIFAR100-superclass,OTF-avg,ER,GSS,55.52
CIFAR100-superclass,OTF-avg,ER,MIR,49.12
CIFAR100-superclass,OTF-avg,GSS,CoPE,67.58
CIFAR100-superclass,OTF-avg,GSS,GSS,53.289
CIFAR100-superclass,OTF-avg,MIR,CoPE,58.3
CIFAR100-superclass,OTF-avg,MIR,GSS,56.52
CIFAR100-superclass,OTF-avg,MIR,MIR,48.578
CIFAR100-superclass,OTF-last,CoPE,CoPE,76.178
CIFAR100-superclass,OTF-last,ER,CoPE,72.02
CIFAR100-superclass,OTF-last,ER,ER,56.489
CIFAR100-superclass,OTF-last,ER,GSS,73.58
CIFAR100-superclass,OTF-last,ER,MIR,55.54
CIFAR100-superclass,OTF-last,GSS,CoPE,77.82
CIFAR100-superclass,OTF-last,GSS,GSS,69.067
CIFAR100-superclass,OTF-last,MIR,CoPE,73.58
CIFAR100-superclass,OTF-last,MIR,GSS,73.88
CIFAR100-superclass,OTF-last,MIR,MIR,57.067
CIFAR100-superclass,Random,CoPE,CoPE,126.356
CIFAR100-superclass,Random,ER,CoPE,134.02
CIFAR100-superclass,Random,ER,ER,134.444
CIFAR100-superclass,Random,ER,GSS,132.08
CIFAR100-superclass,Random,ER,MIR,134.06
CIFAR100-superclass,Random,GSS,CoPE,131.96
CIFAR100-superclass,Random,GSS,GSS,134.489
CIFAR100-superclass,Random,MIR,CoPE,126.76
CIFAR100-superclass,Random,MIR,GSS,133.98
CIFAR100-superclass,Random,MIR,MIR,135.467
TinyImageNet,OTF-avg,CoPE,CoPE,390.889
TinyImageNet,OTF-avg,ER,CoPE,394.34
TinyImageNet,OTF-avg,ER,ER,377.022
TinyImageNet,OTF-avg,ER,GSS,369.96
TinyImageNet,OTF-avg,ER,MIR,382.9
TinyImageNet,OTF-avg,GSS,CoPE,361.18
TinyImageNet,OTF-avg,GSS,GSS,285.6
TinyImageNet,OTF-avg,MIR,CoPE,392.4
TinyImageNet,OTF-avg,MIR,GSS,351.72
TinyImageNet,OTF-avg,MIR,MIR,380.889
TinyImageNet,OTF-last,CoPE,CoPE,433.867
TinyImageNet,OTF-last,ER,CoPE,408.14
TinyImageNet,OTF-last,ER,ER,383.022
TinyImageNet,OTF-last,ER,GSS,387.68
TinyImageNet,OTF-last,ER,MIR,400.32
TinyImageNet,OTF-last,GSS,CoPE,397.2
TinyImageNet,OTF-last,GSS,GSS,339.644
TinyImageNet,OTF-last,MIR,CoPE,418.12
TinyImageNet,OTF-last,MIR,GSS,393.12
TinyImageNet,OTF-last,MIR,MIR,412.089
TinyImageNet,Random,CoPE,CoPE,528.667
TinyImageNet,Random,ER,CoPE,535.48
TinyImageNet,Random,ER,ER,536.178
TinyImageNet,Random,ER,GSS,536.02
TinyImageNet,Random,ER,MIR,528.12
TinyImageNet,Random,GSS,CoPE,529.86
TinyImageNet,Random,GSS,GSS,530.178
TinyImageNet,Random,MIR,CoPE,529.48
TinyImageNet,Random,MIR,GSS,542.32
TinyImageNet,Random,MIR,MIR,518.267
