Dataset,Strategy,CD,Mean Footrule distance between orderings
CIFAR100,CoPE,OTF-avg,81.556
CIFAR100,CoPE,OTF-last,88.444
CIFAR100,CoPE,Random,131.289
CIFAR100,ER,OTF-avg,69.333
CIFAR100,ER,OTF-last,77.778
CIFAR100,ER,Random,134.133
CIFAR100,GSS,OTF-avg,57.511
CIFAR100,GSS,OTF-last,69.156
CIFAR100,GSS,Random,128.622
CIFAR100,MIR,OTF-avg,59.867
CIFAR100,MIR,OTF-last,74.089
CIFAR100,MIR,Random,127.733
CIFAR100-superclass,CoPE,OTF-avg,65.111
CIFAR100-superclass,CoPE,OTF-last,76.178
CIFAR100-superclass,CoPE,Random,126.356
CIFAR100-superclass,ER,OTF-avg,46.622
CIFAR100-superclass,ER,OTF-last,56.489
CIFAR100-superclass,ER,Random,134.444
CIFAR100-superclass,GSS,OTF-avg,53.289
CIFAR100-superclass,GSS,OTF-last,69.067
CIFAR100-superclass,GSS,Random,134.489
CIFAR100-superclass,MIR,OTF-avg,48.578
CIFAR100-superclass,MIR,OTF-last,57.067
CIFAR100-superclass,MIR,Random,135.467
TinyImageNet,CoPE,OTF-avg,390.889
TinyImageNet,CoPE,OTF-last,433.867
TinyImageNet,CoPE,Random,528.667
TinyImageNet,ER,OTF-avg,377.022
TinyImageNet,ER,OTF-last,383.022
TinyImageNet,ER,Random,536.178
TinyImageNet,GSS,OTF-avg,285.6
TinyImageNet,GSS,OTF-last,339.644
TinyImageNet,GSS,Random,530.178
TinyImageNet,MIR,OTF-avg,380.889
TinyImageNet,MIR,OTF-last,412.089
TinyImageNet,MIR,Random,518.267
